Ano,Mês,Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Total mensal
2002,1,,,,,,,
2002,2,,,,,,,
2002,3,,,,,,,
2002,4,,,,,,,
2002,5,,,,,,,
2002,6,,,,,,,
2002,7,,,,,,,
2002,8,,,,,,,
2002,9,31914,16442,64736,3264,27,6522,122905
2002,10,19648,17218,39623,3948,0,7876,88313
2002,11,17052,26077,4967,442,0,5397,53935
2002,12,5008,8614,1401,610,0,840,16473
Total anual,,73622,68351,110727,8264,27,20635,281626
2003,1,3528,2206,157,436,1,172,6500
2003,2,1960,56,214,107,3,30,2370
2003,3,3295,80,258,286,1,38,3958
2003,4,1179,440,1322,421,13,56,3431
2003,5,2033,248,5200,3321,316,179,11297
2003,6,5810,401,16779,5218,164,260,28632
2003,7,10625,957,25598,7995,1504,700,47379
2003,8,25943,4978,35140,7748,383,1596,75788
2003,9,28643,17360,62250,9255,86,3269,120863
2003,10,11775,24507,24521,5826,6,1110,67745
2003,11,10518,19483,2461,550,6,468,33486
2003,12,7858,11332,1240,444,5,34,20913
Total anual,,113167,82048,175140,41607,2488,7912,422362
2004,1,2872,563,180,73,13,255,3956
2004,2,1553,9,89,75,10,165,1901
2004,3,1309,12,649,211,55,130,2366
2004,4,697,7,1008,418,281,83,2494
2004,5,3275,54,6963,122,84,47,10545
2004,6,7665,143,16368,3163,553,473,28365
2004,7,13245,365,23581,2045,349,565,40150
2004,8,30179,2015,38255,4545,155,2398,77547
2004,9,46587,4178,79405,3371,18,10408,143967
2004,10,16148,6987,23572,1168,51,3023,50949
2004,11,20035,14213,7056,791,10,312,42417
2004,12,13442,12743,1558,415,10,233,28401
Total anual,,157007,41289,198684,16397,1589,18092,433058
2005,1,2023,1638,177,428,20,2,4288
2005,2,855,85,331,144,13,70,1498
2005,3,806,47,401,340,362,97,2053
2005,4,1381,1,1662,853,32,245,4174
2005,5,2162,53,5009,2609,72,716,10621
2005,6,3761,286,11483,2380,320,3688,21918
2005,7,12504,817,18052,2296,194,2886,36749
2005,8,50315,1900,41231,3876,90,12515,109927
2005,9,51457,6929,50466,1372,17,5633,115874
2005,10,16893,25909,46086,5569,8,1377,95842
2005,11,14495,19115,5870,562,13,204,40259
2005,12,4206,8328,922,160,15,39,13670
Total anual,,160858,65108,181690,20589,1156,27472,456873
2006,1,1261,542,619,136,21,5,2584
2006,2,535,412,144,464,19,36,1610
2006,3,826,89,322,305,78,17,1637
2006,4,868,18,603,397,99,8,1993
2006,5,1055,7,2862,2813,435,84,7256
2006,6,2206,40,9573,6170,235,503,18727
2006,7,5201,247,20378,8269,536,896,35527
2006,8,25061,1236,35778,7322,410,2494,72301
2006,9,37450,7006,35636,3012,20,2427,85551
2006,10,9673,9836,8810,525,0,404,29248
2006,11,8229,10752,2596,392,16,537,22522
2006,12,4951,9307,788,168,1,7,15222
Total anual,,97316,39492,118109,29973,1870,7418,294178
2007,1,2692,1152,238,91,0,3,4176
2007,2,3277,16,119,121,1,6,3540
2007,3,1765,8,905,297,1,18,2994
2007,4,432,26,1508,528,25,98,2617
2007,5,1329,271,7944,788,63,170,10565
2007,6,2866,1162,18839,4578,336,479,28260
2007,7,5238,2717,38635,3589,407,933,51519
2007,8,37397,3097,72717,3911,110,3180,120412
2007,9,60887,8637,118753,5560,78,10575,204490
2007,10,22883,14771,56652,5930,3,2826,103065
2007,11,14022,18434,11951,2930,11,358,47706
2007,12,1799,6110,877,200,4,53,9043
Total anual,,154587,56401,329138,28523,1039,18699,588387
2008,1,1410,487,207,111,19,8,2242
2008,2,721,58,88,159,33,15,1074
2008,3,798,40,267,279,13,22,1419
2008,4,638,11,516,204,122,34,1525
2008,5,508,21,2377,1861,400,73,5240
2008,6,1693,81,7813,1651,129,145,11512
2008,7,4507,150,13691,9030,649,733,28760
2008,8,17498,1329,25652,2681,40,1475,48675
2008,9,18347,4521,39781,2963,10,3983,69605
2008,10,15520,20322,40038,4218,10,3068,83176
2008,11,9499,18262,8136,1359,7,466,37729
2008,12,3553,5225,892,451,20,1231,11372
Total anual,,74692,50507,139458,24967,1452,11253,302329
2009,1,412,588,258,200,43,612,2113
2009,2,991,43,154,131,10,183,1512
2009,3,765,325,295,334,5,119,1843
2009,4,512,67,599,1257,297,753,3485
2009,5,1870,18,2014,1807,1236,2047,8992
2009,6,1689,77,5225,2035,165,678,9869
2009,7,2264,371,12862,1549,208,744,17998
2009,8,5614,713,19084,4020,199,1645,31275
2009,9,10748,6672,24263,900,5,3452,46040
2009,10,12340,5757,5637,1041,1,2737,27513
2009,11,14669,11063,3399,254,0,797,30182
2009,12,5131,6115,553,225,12,42,12078
Total anual,,56593,31221,74085,13553,2138,13197,190787
2010,1,1358,292,172,216,8,46,2092
2010,2,1295,124,287,252,1,83,2042
2010,3,640,70,438,157,14,77,1396
2010,4,659,20,2454,450,105,222,3910
2010,5,1781,389,8744,655,95,64,11728
2010,6,2305,376,19282,3027,79,1290,26359
2010,7,5463,1797,40451,5407,141,1358,54617
2010,8,43187,4149,77548,5018,271,2542,132715
2010,9,39324,10813,123409,4927,34,6989,185496
2010,10,10948,21834,28644,2386,33,3059,66904
2010,11,4072,9894,2501,305,5,517,17294
2010,12,1772,1197,886,98,25,1496,5474
Total anual,,112804,50955,304816,22898,811,17743,510027
2011,1,1449,32,82,53,11,163,1790
2011,2,880,14,100,87,0,4,1085
2011,3,97,13,173,98,7,0,388
2011,4,484,51,896,113,55,2,1601
2011,5,981,92,3356,639,136,13,5217
2011,6,1381,690,9115,1201,158,59,12604
2011,7,2022,558,15962,6759,253,262,25816
2011,8,6630,2451,32001,3973,144,695,45894
2011,9,13333,4003,61204,5186,44,2117,85887
2011,10,5109,9492,10714,1165,8,1003,27491
2011,11,2991,4894,820,226,11,1618,10560
2011,12,6523,2411,565,123,3,1114,10739
Total anual,,41880,24701,134988,19623,830,7050,229072
2012,1,2356,917,131,93,47,237,3781
2012,2,320,39,268,103,38,137,905
2012,3,335,274,742,363,44,157,1915
2012,4,368,782,1578,420,27,61,3236
2012,5,1221,1743,5963,1240,754,192,11113
2012,6,2561,1989,14039,1020,440,159,20208
2012,7,2461,2704,25380,1635,349,841,33370
2012,8,15854,3840,58899,2730,236,4433,85992
2012,9,18646,7040,84109,3536,13,4893,118237
2012,10,8323,17685,52533,3689,6,1734,83970
2012,11,11893,4495,2347,533,3,241,19512
2012,12,2510,5028,1461,281,6,181,9467
Total anual,,66848,46536,247450,15643,1963,13266,391706
2013,1,3967,313,190,170,11,120,4771
2013,2,114,91,427,182,35,102,951
2013,3,652,185,387,287,69,200,1780
2013,4,295,240,612,187,21,62,1417
2013,5,1366,167,3938,745,61,98,6375
2013,6,2284,521,7257,599,42,59,10762
2013,7,1849,769,12697,2658,294,147,18414
2013,8,6267,1935,25972,2226,165,430,36995
2013,9,9103,6688,40526,2581,30,2878,61806
2013,10,4323,7512,16287,791,15,1133,30061
2013,11,3165,6701,1954,200,17,1005,13042
2013,12,2613,3272,754,134,14,341,7128
Total anual,,35998,28394,111001,10760,774,6575,193502
2014,1,2354,215,380,63,3,58,3073
2014,2,979,15,142,151,9,74,1370
2014,3,998,41,230,128,14,8,1419
2014,4,341,126,969,119,36,99,1690
2014,5,1092,209,3679,399,57,8,5444
2014,6,2176,757,10290,1208,31,72,14534
2014,7,2589,1356,19024,1518,355,109,24951
2014,8,15772,2165,44319,3263,217,268,66004
2014,9,11967,5923,47936,2854,6,521,69207
2014,10,9391,8193,39817,4386,13,775,62575
2014,11,8255,6105,3326,91,0,176,17953
2014,12,5395,2954,619,56,0,23,9047
Total anual,,61309,28059,170731,14236,741,2191,277267
2015,1,2137,706,721,260,4,112,3940
2015,2,1474,59,149,145,2,69,1898
2015,3,338,52,347,220,24,19,1000
2015,4,552,331,785,238,144,44,2094
2015,5,513,361,2352,427,614,54,4321
2015,6,1433,975,8154,1241,260,507,12570
2015,7,2581,1325,13884,500,111,279,18680
2015,8,15366,3623,31120,2476,148,1985,54718
2015,9,21618,9797,59355,2650,30,2478,95928
2015,10,16009,10872,54654,2733,12,1057,85337
2015,11,17602,12064,12162,1792,0,405,44025
2015,12,14038,7378,6816,831,1,862,29926
Total anual,,93661,47543,190499,13513,1350,7871,354437
2016,1,6082,393,114,131,6,17,6743
2016,2,1005,34,572,127,19,37,1794
2016,3,2948,58,679,372,13,6,4076
2016,4,908,79,2746,974,8,41,4756
2016,5,1584,334,6205,858,61,103,9145
2016,6,2178,601,11257,2266,671,159,17132
2016,7,4513,1428,21514,7156,323,1056,35990
2016,8,15457,2583,40110,3170,328,2166,63814
2016,9,13414,3732,41613,2341,46,4656,65802
2016,10,7003,10305,18874,834,34,2594,39644
2016,11,7129,10512,6515,189,4,329,24678
2016,12,2901,3248,941,114,14,81,7299
Total anual,,65122,33307,151140,18532,1527,11245,280873
2017,1,616,442,225,160,7,374,1824
2017,2,343,26,262,187,12,69,899
2017,3,128,103,574,110,5,87,1007
2017,4,308,81,1021,68,23,30,1531
2017,5,896,177,3727,194,90,114,5198
2017,6,1374,240,6619,804,283,171,9491
2017,7,4535,592,11177,4750,936,829,22819
2017,8,17628,1648,28321,3513,188,2162,53460
2017,9,34052,3146,65019,3800,15,4763,110795
2017,10,9589,12303,37656,2424,12,1036,63020
2017,11,12832,6556,2437,96,12,187,22120
2017,12,8914,4384,1310,84,19,7,14718
Total anual,,91215,29698,158348,16190,1602,9829,306882
2018,1,2132,637,192,25,17,22,3025
2018,2,1260,14,34,49,21,0,1378
2018,3,1387,52,633,332,32,7,2443
2018,4,617,28,603,289,76,11,1624
2018,5,895,149,3354,1338,130,53,5919
2018,6,1605,613,7087,1932,93,86,11416
2018,7,3606,1309,10910,4111,85,318,20339
2018,8,6045,2700,19082,1674,125,669,30295
2018,9,12849,7616,33255,2146,4,1583,57453
2018,10,6533,5046,8632,1106,19,113,21449
2018,11,4889,5922,1155,83,5,3,12057
2018,12,1342,1342,437,132,8,229,3490
Total anual,,43160,25428,85374,13217,615,3094,170888
2019,1,2983,118,506,264,4,531,4406
2019,2,1598,23,316,288,15,538,2778
2019,3,5277,37,395,337,32,103,6181
2019,4,1911,16,815,130,55,126,3053
2019,5,809,250,3757,180,25,73,5094
2019,6,1763,357,8455,1579,184,342,12680
2019,7,4280,1516,12897,3315,712,846,23566
2019,8,24688,3736,35379,4270,262,3907,72242
2019,9,16320,6724,59594,4451,59,6483,93631
2019,10,5364,18494,18548,2517,21,5188,50132
2019,11,5454,15858,5087,1401,13,2317,30130
2019,12,1803,8389,1902,459,16,380,12949
Total anual,,72250,55518,147651,19191,1398,20834,316842
2020,1,1578,434,214,478,19,436,3159
2020,2,2787,45,247,160,26,156,3421
2020,3,1658,8,697,237,200,1036,3836
2020,4,483,13,1182,557,1379,1174,4788
2020,5,731,16,2600,873,720,384,5324
2020,6,1983,79,7552,1895,344,1076,12929
2020,7,3515,525,11324,1683,151,3367,20565
2020,8,20664,1789,22729,3337,200,10179,58898
2020,9,27937,4816,54741,3393,11,14264,105162
2020,10,12028,13118,34188,2357,27,5707,67425
2020,11,2335,5350,2122,384,18,1554,11763
2020,12,722,4208,944,129,24,435,6462
Total anual,,76421,30401,138540,15483,3119,39768,303732
2021,1,253,976,302,59,21,59,1670
2021,2,443,270,270,187,15,23,1208
2021,3,339,165,721,404,28,50,1707
2021,4,338,146,1096,422,137,111,2250
2021,5,1022,366,5968,1500,431,323,9610
2021,6,2583,1466,10068,1100,37,434,15688
2021,7,3349,1984,16047,4017,349,1095,26841
2021,8,21476,4534,38848,5469,142,3565,74034
2021,9,9607,13384,56410,6719,9,8208,94337
2021,10,5835,12722,12799,1272,15,4931,37574
2021,11,2158,12150,440,278,30,318,15374
2021,12,659,2714,373,129,33,325,4233
Total anual,,48062,50877,143342,21556,1247,19442,284526
2022,1,2272,47,277,450,453,81,3580
2022,2,504,67,494,178,219,37,1499
2022,3,63,28,508,154,36,56,845
2022,4,407,67,1583,109,44,32,2242
2022,5,1695,322,6783,367,85,408,9660
2022,6,2677,799,11701,944,30,272,16423
2022,7,4091,1164,16452,2642,45,490,24884
2022,8,24083,2619,28398,2534,25,307,57966
2022,9,28458,7589,32473,1179,9,625,70333
2022,10,7610,17463,24218,733,9,52,50085
2022,11,4132,2928,1348,131,20,233,8792
2022,12,826,2368,620,35,114,435,4398
Total anual,,76818,35461,124855,9456,1089,3028,250707
2023,1,906,335,185,44,72,15,1557
2023,2,1102,81,311,43,136,0,1673
2023,3,1666,54,631,281,108,22,2762
2023,4,1169,397,1761,175,189,19,3710
2023,5,1655,441,5568,826,385,64,8939
2023,6,3374,805,14078,1321,80,80,19738
2023,7,3456,2293,20242,3989,103,498,30581
2023,8,12690,5920,23400,2756,85,360,45211
2023,9,20618,18319,45422,2595,6,1059,88019
2023,10,21486,35323,25999,1551,10,2742,87111
2023,11,17493,24849,8164,1459,0,7322,59287
2023,12,6245,11494,4103,1095,6,815,23758
Total anual,,91860,100311,149864,16135,1180,12996,372346
2024,1,3766,916,957,324,0,481,6444
2024,2,5085,193,857,296,8,136,6575
2024,3,2031,9,246,39,0,169,2494
2024,4,1286,263,2109,385,31,100,4174
2024,5,2014,430,11482,2210,12,390,16538
2024,6,3400,1114,23250,6755,0,4704,39223
2024,7,8664,1754,18706,7257,28,1820,38229
2024,8,36022,4870,49070,11945,157,8640,110704
2024,9,43811,12573,84377,11029,26,5124,156940
2024,10,22033,42935,37420,4875,9,5291,112563
2024,11,25165,32445,10794,1583,18,264,70269
2024,12,10068,13572,2785,1988,6,44,28463
Total anual,,163345,111074,242053,48686,295,27163,592616
2025,1,3131,1887,459,664,59,104,6304
2025,2,496,157,840,479,109,16,2097
Total anual,,3627,2044,1299,1143,168,120,8401
